order_id,customer_id,order_date,total,status
1,422,2025-11-14 06:05:34,180.57,completed
2,207,2024-12-27 20:18:19,50.73,completed
3,86,2024-02-02 11:43:35,183.6,completed
4,381,2024-12-08 09:13:35,102.81,returned
5,500,2024-09-18 22:41:33,408.14,completed
6,460,2025-07-21 12:18:46,201.69,completed
7,228,2024-11-25 11:47:30,29.8,completed
8,3,2023-12-17 16:51:15,274.4,completed
9,30,2024-03-15 18:16:40,150.01,completed
10,8,2024-06-21 17:46:35,254.39,completed
11,109,2024-07-06 00:20:36,95.0,completed
12,387,2023-12-03 16:32:57,130.95,shipped
13,309,2024-05-11 12:12:36,116.08,completed
14,107,2025-03-19 09:38:58,57.15,completed
15,277,2025-07-06 19:23:53,160.22,completed
16,459,2025-05-02 07:09:24,19.13,returned
17,260,2024-05-24 22:46:14,62.38,shipped
18,126,2023-12-11 02:16:10,6.07,shipped
19,106,2024-06-13 11:35:29,60.68,completed
20,206,2025-06-19 08:02:16,233.21,shipped
21,163,2024-02-18 21:28:15,212.51,completed
22,101,2025-08-07 07:56:33,112.77,shipped
23,499,2025-07-15 20:25:13,19.58,completed
24,14,2024-09-03 08:21:42,360.25,shipped
25,319,2025-04-06 19:49:51,144.95,shipped
26,343,2024-09-21 03:08:26,257.08,completed
27,430,2024-02-24 18:13:11,80.34,completed
28,403,2025-08-11 10:44:33,313.53,completed
29,382,2025-06-12 01:00:06,13.32,completed
30,113,2025-09-25 18:00:48,181.73,shipped
31,352,2024-06-11 13:44:29,45.08,completed
32,106,2025-09-14 09:08:32,464.12,completed
33,300,2024-01-19 19:33:44,129.22,completed
34,277,2024-01-13 07:10:11,148.27,completed
35,461,2024-01-11 06:00:56,147.1,shipped
36,13,2024-12-10 17:20:36,283.97,shipped
37,388,2025-05-28 17:45:40,105.74,completed
38,413,2025-05-14 06:35:29,107.74,shipped
39,151,2025-06-29 00:30:23,226.02,completed
40,363,2025-06-05 21:58:45,180.0,shipped
41,308,2024-10-02 11:50:47,284.19,completed
42,225,2023-11-30 12:18:10,53.25,completed
43,88,2023-11-26 07:24:30,78.14,completed
44,1,2025-06-13 16:38:16,621.03,completed
45,333,2025-08-20 17:36:42,192.1,shipped
46,324,2025-01-08 14:35:00,4.81,completed
47,90,2025-02-26 16:13:49,182.99,completed
48,467,2025-10-28 15:31:45,143.43,shipped
49,242,2024-03-11 19:14:43,537.09,shipped
50,493,2024-01-28 01:54:25,106.35,completed
51,402,2025-06-08 10:16:33,145.23,completed
52,29,2025-02-13 17:21:57,147.38,shipped
53,73,2025-07-22 12:06:34,237.75,completed
54,108,2024-09-13 15:40:46,200.25,completed
55,471,2024-04-13 18:19:09,203.15,completed
